"Name","VarianceFantasyEvaluation","PlayedMatches","MeanFantasyEvaluation","Team","Role","MedianFantasyEvaluation","WeightedFantasyEvaluation","Qt..A","Qt..I","Plays2018_2019","Owner","Price"
"COSTA F","0.3932806324","23","5.9347826087","SPAL","D","6","3.5921052632","3","4","1","",""
"BERENGUER","1.3187229437","22","6.1590909091","Torino","C","6","3.5657894737","5","5","1","",""
"ROSSETTINI","0.5276679842","23","5.8695652174","Genoa","D","6","3.5526315789","6","5","1","",""
"SCHICK","1.8446969697","22","6.0227272727","Roma","A","6","3.4868421053","17","17","1","",""
"CALABRIA","1.7654761905","21","6.2619047619","Milan","D","6","3.4605263158","7","6","1","",""
"ANDREOLLI","0.3577075099","23","5.6956521739","Cagliari","D","6","3.4473684211","3","4","1","",""
"BENATIA","1.6026315789","20","6.55","Juventus","D","6.5","3.4473684211","9","10","1","",""
"ACQUAH","0.6737012987","22","5.9318181818","Torino","C","6","3.4342105263","5","4","1","",""
"GOSENS","0.8642857143","21","6.2142857143","Atalanta","D","6","3.4342105263","7","7","1","",""
"CACERES","2.8947368421","20","6.5","Lazio","D","6","3.4210526316","5","5","1","",""
"MORETTI","0.3555194805","22","5.8863636364","Torino","D","6","3.4078947368","3","3","1","",""
"PUCCIARELLI","1.6174242424","22","5.8863636364","Chievo","A","5.5","3.4078947368","3","4","1","",""
"SPOLLI","0.3833333333","21","6.1666666667","Genoa","D","6.5","3.4078947368","5","6","1","",""
"LAURINI","0.3376623377","22","5.8636363636","Fiorentina","D","6","3.3947368421","2","3","1","",""
"EYSSERIC","1.0476190476","21","6.119047619","Fiorentina","C","6","3.3815789474","9","8","1","",""
"BENNACER","NA","21","NA","NA","C","NA","3.371787860188514","6","6","1","",""
"CIOFANI D","NA","21","NA","NA","A","NA","3.371787860188514","5","6","1","",""
"GAGLIOLO","NA","21","NA","NA","D","NA","3.371787860188514","7","6","1","",""
"PROVEDEL","NA","21","NA","NA","P","NA","3.371787860188514","5","6","1","",""
"UCAN","NA","21","NA","NA","C","NA","3.371787860188514","5","6","1","",""
"VIEIRA","NA","21","NA","NA","C","NA","3.371787860188514","5","6","1","",""
"VLOET","NA","21","NA","NA","C","NA","3.371787860188514","5","6","1","",""
"FLOCCARI","3.5947368421","20","6.4","SPAL","A","6","3.3684210526","4","5","1","",""
"JUAN JESUS","0.4464285714","22","5.75","Roma","D","6","3.3289473684","6","7","1","",""
"LAZOVIC","0.2369047619","21","6.0238095238","Genoa","C","6","3.3289473684","5","5","1","",""
"PERICA","0.8988095238","22","5.75","Udinese","A","5.5","3.3289473684","10","12","1","",""
"SALAMON","0.3982683983","22","5.7272727273","SPAL","D","6","3.3157894737","4","4","1","",""
"LOCATELLI M","0.0976190476","21","5.9523809524","Milan","C","6","3.2894736842","7","7","1","",""
"BEHRAMI","1.0125","20","6.225","Udinese","C","6","3.2763157895","5","4","1","",""
"GONZALEZ G","0.6174242424","22","5.6136363636","Bologna","D","5.5","3.25","6","6","1","",""
"BRIGNOLA","2.3897058824","18","6.75","Benevento","A","6.5","3.1973684211","8","9","1","",""
"CASTAGNE","0.4861842105","20","6.025","Atalanta","D","6","3.1710526316","7","6","1","",""
"PARIGINI","0.1904761905","21","5.7380952381","Benevento","A","6","3.1710526316","6","7","1","",""
"KEAN","5.1725146199","19","6.3157894737","Verona","A","5.5","3.1578947368","6","7","1","",""
"BALIC","0.2619047619","21","5.6904761905","Udinese","C","6","3.1447368421","2","3","1","",""
"GOMIS A","2.8538461538","26","4.5769230769","SPAL","P","4.5","3.1315789474","4","1","1","",""
"BENTANCUR","0.0947368421","20","5.9","Juventus","C","6","3.1052631579","7","8","1","",""
"MAZZITELLI","0.4809210526","20","5.825","Sassuolo","C","6","3.0657894737","6","6","1","",""
"ASAMOAH","0.2105263158","19","6.1052631579","Juventus","D","6","3.0526315789","9","9","1","GATTI","7"
"VITOR HUGO","1.5160818713","19","6.1052631579","Fiorentina","D","6","3.0526315789","7","6","1","",""
"MOLINARO","0.4861842105","20","5.775","Torino","D","6","3.0394736842","7","7","1","",""
"PELLISSIER","1.3581871345","19","6.0526315789","Chievo","A","6","3.0263157895","2","3","1","",""
"MURRU","0.4598684211","20","5.725","Sampdoria","D","5.75","3.0131578947","6","6","1","",""
"DIAWARA","1.033496732","18","6.3055555556","Napoli","C","6","2.9868421053","9","9","1","",""
"GIACCHERINI","2.8363970588","17","6.6470588235","Chievo","C","6","2.9736842105","14","14","1","",""
"OMEONGA","0.0804093567","19","5.9473684211","Genoa","C","6","2.9736842105","4","5","1","",""
"HALLFREDSSON","0.3669590643","19","5.8157894737","Udinese","C","6","2.9078947368","2","3","1","",""
"DEPAOLI","0.2032163743","19","5.7894736842","Chievo","C","6","2.8947368421","5","4","1","",""
"MONTOLIVO","1.1903594771","18","6.0277777778","Milan","C","6","2.8552631579","3","4","1","",""
"SENSI","2.3051470588","17","6.3529411765","Sassuolo","C","6","2.8421052632","6","6","1","",""
"SPINAZZOLA","0.4967320261","18","5.9444444444","Atalanta","D","5.5","2.8157894737","5","6","1","",""
"MILIK","4.6857142857","15","7.1","Napoli","A","6","2.8026315789","26","26","1","GATTI","20"
"LUIZ FELIPE","0.4060457516","18","5.8611111111","Lazio","D","6","2.7763157895","7","8","1","",""
"D'ALESSANDRO","1.2625","16","6.4375","Benevento","C","6.25","2.7105263158","3","3","1","",""
"STRINIC","0.7334558824","17","6.0294117647","Sampdoria","D","6","2.6973684211","4","5","1","",""
"ABATE","1.4025735294","17","5.9411764706","Milan","D","6","2.6578947368","2","3","1","",""
"LOMBARDI","0.5606617647","17","5.8235294118","Benevento","A","6","2.6052631579","2","3","1","",""
"DESSENA","0.0955882353","17","5.7941176471","Cagliari","C","6","2.5921052632","3","3","1","",""
"IZZO","1.05","16","6.125","Genoa","D","6","2.5789473684","9","9","1","VE","9"
"DJURICIC","0.6","16","6","Benevento","C","6","2.5263157895","4","5","1","",""
"ADJAPONG","0.4489583333","16","5.96875","Sassuolo","D","6","2.5131578947","2","3","1","",""
"CIONEK","0.9452380952","15","6.3666666667","SPAL","D","6.5","2.5131578947","9","9","1","",""
"ORSOLINI","0.1291666667","16","5.9375","Bologna","A","6","2.5","3","3","1","",""
"SZCZESNY","1.2334558824","17","5.5294117647","Juventus","P","6","2.4736842105","18","18","1","",""
"BANI","0.2322916667","16","5.78125","Chievo","D","5.75","2.4342105263","6","6","1","",""
"MURGIA","0.1989583333","16","5.78125","Lazio","C","6","2.4342105263","2","3","1","",""
"MILENKOVIC","0.3666666667","16","5.75","Fiorentina","D","6","2.4210526316","8","6","1","",""
"DZEMAILI","1.4357142857","15","6.1","Bologna","C","6","2.4078947368","11","13","1","",""
"HILJEMARK","0.8285714286","15","6.1","Genoa","C","6","2.4078947368","6","6","1","",""
"EDERA","1.1607142857","14","6.3928571429","Torino","A","6","2.3552631579","3","4","1","",""
"SANDRO","1.4464285714","14","6.3214285714","Benevento","C","6.25","2.3289473684","8","9","1","",""
"DEFREL","1.1595238095","15","5.8666666667","Roma","A","5.5","2.3157894737","22","20","1","",""
"BARROW","3.1515151515","12","7.1666666667","Atalanta","A","6.25","2.2631578947","10","11","1","",""
"JOAO MARIO","0.3791208791","14","6.0714285714","Inter","C","6","2.2368421053","3","3","1","",""
"SANTON","0.5785714286","15","5.6","Inter","D","6","2.2105263158","3","3","1","",""
"MUSACCHIO","0.4238095238","15","5.5666666667","Milan","D","5.5","2.1973684211","5","5","1","",""
"MEGGIORINI","0.1952380952","15","5.5333333333","Chievo","A","5.5","2.1842105263","5","6","1","",""
"PEZZELLA GIU","0.3738095238","15","5.5333333333","Udinese","D","5.5","2.1842105263","4","5","1","",""
"RIGONI N","0.2142857143","15","5.5","Chievo","C","5.5","2.1710526316","6","6","1","",""
"REGINI","0.2857142857","14","5.8571428571","Sampdoria","D","6","2.1578947368","2","3","1","",""
"GHOULAM","4.1045454545","11","7.3636363636","Napoli","D","6.5","2.1315789474","8","9","1","",""
"DE SCIGLIO","1.196969697","12","6.6666666667","Juventus","D","6.5","2.1052631579","6","7","1","",""
"CICIRETTI","2.384469697","12","6.5416666667","Benevento","C","6","2.0657894737","11","12","1","",""
"DEIOLA","0.1442307692","13","5.9615384615","Cagliari","C","6","2.0394736842","3","3","1","",""
"DALBERT","0.1923076923","13","5.7307692308","Inter","D","6","1.9605263158","3","3","1","",""
"MERET","4.4423076923","13","5.7307692308","SPAL","P","6","1.9605263158","13","14","1","",""
"ROGERIO","0.3173076923","13","5.7307692308","Sassuolo","D","6","1.9605263158","5","4","1","",""
"WALLACE","0.4423076923","13","5.7307692308","Lazio","D","6","1.9605263158","5","5","1","",""
"MEDEIROS","3.1181818182","11","6.7272727273","Genoa","A","6","1.9473684211","10","11","1","",""
"CHIBSAH","0.4903846154","14","5.25","Benevento","C","5","1.9342105263","4","3","1","",""
"VALDIFIORI","0.2243589744","13","5.6538461538","Torino","C","6","1.9342105263","3","3","1","",""
"NAGY","1.4015151515","12","6.0833333333","Bologna","C","6","1.9210526316","3","4","1","",""
"RANOCCHIA","2.5545454545","11","6.6363636364","Inter","D","6","1.9210526316","3","4","1","",""
"SALA","0.5064102564","13","5.6153846154","Sampdoria","D","5.5","1.9210526316","3","3","1","",""
"ZAPATA C","0.6742424242","12","6.0833333333","Milan","D","6.25","1.9210526316","3","4","1","",""
"TUMMINELLO","2.8916666667","10","7.15","Crotone","A","6","1.8815789474","7","8","1","",""
"OKWONKWO","4.525","10","6.95","Bologna","A","6","1.8289473684","5","5","1","",""
"KREJCI","0.1571969697","12","5.7083333333","Bologna","C","6","1.8026315789","4","5","1","",""
"MANCINI G","2.0045454545","11","6.1363636364","Atalanta","D","6","1.7763157895","8","8","1","",""
"LYKOGIANNIS","0.4409090909","11","6.0909090909","Cagliari","D","6","1.7631578947","4","5","1","",""
"BASTA","0.3227272727","11","6.0454545455","Lazio","D","6","1.75","2","3","1","",""
"PATRIC","0.35","11","6","Lazio","D","6","1.7368421053","1","2","1","",""
"EVERTON LUIZ","0.2545454545","11","5.8636363636","SPAL","C","6","1.6973684211","6","6","1","",""
"JAROSZYNSKI","0.3136363636","11","5.6818181818","Chievo","D","6","1.6447368421","4","5","1","",""
"DABO","2.1777777778","10","6.2","Fiorentina","C","6","1.6315789474","7","7","1","",""
"CASSATA","2.2805555556","10","6.15","Sassuolo","C","6","1.6184210526","2","2","1","",""
"BADU","NA","10","NA","NA","C","NA","1.5935300604480442","4","5","1","",""
"BARAYE","NA","10","NA","NA","A","NA","1.5935300604480442","4","5","1","",""
"BARRETO","NA","10","NA","NA","C","NA","1.5935300604480442","5","5","1","",""
"BIABIANY","NA","10","NA","NA","C","NA","1.5935300604480442","4","5","1","",""
"BOURABIA","NA","10","NA","NA","C","NA","1.5935300604480442","6","5","1","",""
"BRUNO ALVES","NA","10","NA","NA","D","NA","1.5935300604480442","6","5","1","",""
"DA CRUZ","NA","10","NA","NA","A","NA","1.5935300604480442","5","5","1","",""
"DEZI","NA","10","NA","NA","C","NA","1.5935300604480442","4","5","1","",""
"DI LORENZO","NA","10","NA","NA","D","NA","1.5935300604480442","6","5","1","",""
"DIJKS","NA","10","NA","NA","D","NA","1.5935300604480442","7","5","1","",""
"DIMARCO","NA","10","NA","NA","D","NA","1.5935300604480442","4","5","1","",""
"DJIDJI","NA","10","NA","NA","D","NA","1.5935300604480442","4","5","1","",""
"DURMISI","NA","10","NA","NA","D","NA","1.5935300604480442","4","5","1","",""
"LAKICEVIC","NA","10","NA","NA","D","NA","1.5935300604480442","4","5","1","",""
"MAIELLO","NA","10","NA","NA","C","NA","1.5935300604480442","6","5","1","",""
"MCHEDLIDZE","NA","10","NA","NA","A","NA","1.5935300604480442","4","5","1","",""
"NORGAARD","NA","10","NA","NA","C","NA","1.5935300604480442","5","5","1","",""
"PESSINA","NA","10","NA","NA","C","NA","1.5935300604480442","5","5","1","",""
"RECA","NA","10","NA","NA","D","NA","1.5935300604480442","4","5","1","",""
"ROLON","NA","10","NA","NA","C","NA","1.5935300604480442","4","5","1","",""
"SODDIMO","NA","10","NA","NA","C","NA","1.5935300604480442","5","5","1","",""
"STULAC","NA","10","NA","NA","C","NA","1.5935300604480442","6","5","1","",""
"CESAR","0.3027777778","10","5.55","Chievo","D","5.75","1.4605263158","1","1","1","",""
"BELEC","2.380952381","15","3.6666666667","Sampdoria","P","4","1.4473684211","1","1","1","",""
"FARAGO'","3.7261904762","7","7.6428571429","Cagliari","D","7.5","1.4078947368","4","4","1","",""
"GAZZOLA","0.1944444444","9","5.7777777778","Sassuolo","D","6","1.3684210526","4","5","1","",""
"SIMIC S","0.1944444444","9","5.7777777778","Crotone","D","6","1.3684210526","1","2","1","",""
"RAFAEL","1.5555555556","10","5","Cagliari","P","5","1.3157894737","1","1","1","",""
"LEMOS","3.8392857143","8","6.125","Sassuolo","D","6.25","1.2894736842","6","7","1","",""
"DELL'ORCO","0.3169642857","8","6.0625","Sassuolo","D","6","1.2763157895","3","4","1","",""
"CRISETIG","0.0714285714","8","5.75","Bologna","C","5.75","1.2105263158","5","5","1","",""
"MAIETTA","0.2380952381","7","6.2857142857","Bologna","D","6.5","1.1578947368","5","5","1","",""
"INGELSSON","2.2380952381","7","6.2142857143","Udinese","C","6","1.1447368421","1","1","1","",""
"OUNAS","0.0833333333","7","6","Napoli","A","6","1.1052631579","7","7","1","",""
"ANDERSEN","0.1547619048","7","5.7857142857","Sampdoria","D","6","1.0657894737","7","6","1","",""
"CHIRICHES","0.1547619048","7","5.7857142857","Napoli","D","5.5","1.0657894737","2","3","1","",""
"SIMIC L","2.1666666667","6","6.6666666667","SPAL","D","6","1.0526315789","1","2","1","",""
"OLIVERA M","0.369047619","7","5.5714285714","Fiorentina","D","6","1.0263157895","1","2","1","",""
"GOLLINI","1","7","5.5","Atalanta","P","6","1.0131578947","1","1","1","",""
"ZAMPANO","2.075","6","6.25","Udinese","D","5.75","0.9868421053","6","5","1","",""
"CAPEZZI","0.0666666667","6","6.1666666667","Sampdoria","C","6","0.9736842105","4","4","1","",""
"BONIFAZI","0.4","6","6","Torino","D","6.25","0.9473684211","2","3","1","",""
"PEREIRA P","0.1416666667","6","5.9166666667","Genoa","D","6","0.9342105263","2","3","1","",""
"ANTONELLI","0.1666666667","6","5.6666666667","Milan","D","5.75","0.8947368421","4","4","1","",""
"SCUFFET","6.1666666667","6","4.3333333333","Udinese","P","3.5","0.6842105263","3","1","1","",""
"BASTONI","0.0625","4","6.125","Atalanta","D","6","0.6447368421","1","1","1","",""
"TONELLI","5.5625","4","6.125","Napoli","D","5.5","0.6447368421","6","6","1","",""
"LYANCO","0.5","4","6","Torino","D","6.25","0.6315789474","5","6","1","",""
"LERIS","0.25","4","5.75","Chievo","A","6","0.6052631579","1","1","1","",""
"DA COSTA","1.5625","4","5.125","Bologna","P","5.25","0.5394736842","1","1","1","",""
"CONTI","0.125","2","6.25","Milan","D","6.25","0.3289473684","6","7","1","BRYAN","7"
"MAKSIMOVIC","0","2","6","Napoli","D","6","0.3157894737","3","4","1","",""
"SALCEDO MORA","0","2","6","Genoa","A","6","0.3157894737","1","1","1","",""
"VITALE","0","2","6","SPAL","C","6","0.3157894737","1","1","1","",""
"PEGOLO","2","2","5","Sassuolo","P","5","0.2631578947","1","1","1","",""
"DRAGOWSKI","5.3333333333","3","2.8333333333","Fiorentina","P","1.5","0.2236842105","2","1","1","",""
"SKORUPSKI","NA","1","6.5","Roma","P","6.5","0.1710526316","9","9","1","",""
"MAURI J","NA","1","6","Milan","C","6","0.1578947368","1","1","1","",""
"PINAMONTI","NA","1","6","Inter","A","6","0.1578947368","6","7","1","",""
"PONTISSO","NA","1","6","Udinese","C","6","0.1578947368","1","1","1","",""
"SEPE","NA","1","6","Napoli","P","6","0.1578947368","6","6","1","",""
"STIJEPOVIC","NA","1","6","Sampdoria","C","6","0.1578947368","1","1","1","",""
"CERAVOLO","NA","1","5.5","Benevento","A","5.5","0.1447368421","9","10","1","",""
"KARSDORP","NA","1","5.5","Roma","D","5.5","0.1447368421","5","6","1","",""
"LISANDRO LOPEZ","NA","1","5.5","Inter","D","5.5","0.1447368421","6","7","1","",""
"SANTURRO","NA","1","5.5","Bologna","P","5.5","0.1447368421","1","1","1","",""
"MILINKOVIC-SAVIC V","NA","1","5","Torino","P","5","0.1315789474","7","8","1","",""
"PINSOGLIO","NA","1","5","Juventus","P","5","0.1315789474","1","1","1","",""
"WAGUE","NA","1","5","Udinese","D","5","0.1315789474","1","1","1","",""
"ROSSI F","NA","1","4.5","Atalanta","P","4.5","0.1184210526","1","1","1","",""
"AINA","NA","1","NA","NA","D","NA","0","5","4","1","",""
"ARDAIZ","NA","1","NA","NA","A","NA","0","3","3","1","",""
"ARESTI","NA","1","NA","NA","P","NA","0","1","1","1","",""
"ARIAUDO","NA","1","NA","NA","D","NA","0","3","4","1","",""
"BAGHERIA","NA","1","NA","NA","P","NA","0","1","1","1","",""
"BARBA","NA","1","NA","NA","D","NA","0","4","4","1","",""
"BARDI","NA","1","NA","NA","P","NA","0","1","1","1","",""
"BARILLA'","NA","1","NA","NA","C","NA","0","5","3","1","",""
"BEGHETTO","NA","1","NA","NA","C","NA","0","1","2","1","",""
"BERNI","NA","1","NA","NA","P","NA","0","1","1","1","",""
"BETTELLA","NA","1","NA","NA","D","NA","0","1","1","1","",""
"BIANDA","NA","1","NA","NA","D","NA","0","1","1","1","",""
"BREMER","NA","1","NA","NA","D","NA","0","3","4","1","",""
"BRIGHENTI","NA","1","NA","NA","D","NA","0","3","2","1","",""
"BRIGHI","NA","1","NA","NA","C","NA","0","1","2","1","",""
"BRUNO JORDAO","NA","1","NA","NA","C","NA","0","1","1","1","",""
"CALABRESI","NA","1","NA","NA","D","NA","0","1","1","1","",""
"CALAIO'","NA","1","NA","NA","A","NA","0","1","1","1","",""
"COLIDIO","NA","1","NA","NA","A","NA","0","1","1","1","",""
"CORIC","NA","1","NA","NA","C","NA","0","2","3","1","",""
"COULIBALY","NA","1","NA","NA","C","NA","0","1","1","1","",""
"DALMONTE","NA","1","NA","NA","A","NA","0","1","1","1","",""
"DAMASCAN","NA","1","NA","NA","A","NA","0","1","1","1","",""
"DI CESARE","NA","1","NA","NA","D","NA","0","2","3","1","",""
"DI GAUDIO","NA","1","NA","NA","C","NA","0","4","4","1","",""
"DICKMANN","NA","1","NA","NA","D","NA","0","1","2","1","",""
"DIKS","NA","1","NA","NA","D","NA","0","3","4","1","",""
"DONNARUMMA A","NA","1","NA","NA","P","NA","0","1","1","1","",""
"FRATTALI","NA","1","NA","NA","P","NA","0","1","1","1","",""
"FULIGNATI","NA","1","NA","NA","P","NA","0","1","1","1","",""
"FUZATO","NA","1","NA","NA","P","NA","0","1","1","1","",""
"GHIDOTTI","NA","1","NA","NA","P","NA","0","1","1","1","",""
"GHIGLIONE","NA","1","NA","NA","D","NA","0","2","2","1","",""
"GORI","NA","1","NA","NA","C","NA","0","1","1","1","",""
"GRAICIAR","NA","1","NA","NA","A","NA","0","1","1","1","",""
"GUERRIERI","NA","1","NA","NA","P","NA","0","1","1","1","",""
"GUNTER","NA","1","NA","NA","D","NA","0","3","3","1","",""
"HALILOVIC","NA","1","NA","NA","C","NA","0","1","2","1","",""
"HANCKO","NA","1","NA","NA","D","NA","0","2","3","1","",""
"IACOBUCCI","NA","1","NA","NA","P","NA","0","1","1","1","",""
"IACOPONI","NA","1","NA","NA","D","NA","0","2","2","1","",""
"ICHAZO","NA","1","NA","NA","P","NA","0","1","1","1","",""
"JAKUPOVIC","NA","1","NA","NA","A","NA","0","1","1","1","",""
"JUNIOR TAVARES","NA","1","NA","NA","D","NA","0","2","3","1","",""
"KARNEZIS","NA","1","NA","NA","P","NA","0","1","1","1","",""
"KATUMA","NA","1","NA","NA","C","NA","0","1","1","1","",""
"KIYINE","NA","1","NA","NA","C","NA","0","3","3","1","",""
"KOUAME'","NA","1","NA","NA","A","NA","0","5","3","1","",""
"KRAJNC","NA","1","NA","NA","D","NA","0","4","4","1","",""
"KULUSEVSKI","NA","1","NA","NA","C","NA","0","1","1","1","",""
"LEVERBE","NA","1","NA","NA","D","NA","0","1","1","1","",""
"LOLLO","NA","1","NA","NA","C","NA","0","3","4","1","",""
"LUKIC","NA","1","NA","NA","C","NA","0","1","2","1","",""
"LUPERTO","NA","1","NA","NA","D","NA","0","2","2","1","",""
"MAGNANI","NA","1","NA","NA","D","NA","0","3","2","1","",""
"MARCJANIK","NA","1","NA","NA","D","NA","0","3","4","1","",""
"MEITE'","NA","1","NA","NA","C","NA","0","6","3","1","",""
"MICIN","NA","1","NA","NA","A","NA","0","1","1","1","",""
"MINALA","NA","1","NA","NA","C","NA","0","1","2","1","",""
"MONCINI","NA","1","NA","NA","A","NA","0","2","3","1","",""
"MUNARI","NA","1","NA","NA","C","NA","0","1","1","1","",""
"ODGAARD","NA","1","NA","NA","A","NA","0","1","1","1","",""
"OPOKU","NA","1","NA","NA","D","NA","0","2","3","1","",""
"OSPINA","NA","1","NA","NA","P","NA","0","1","1","1","",""
"PADELLI","NA","1","NA","NA","P","NA","0","1","1","1","",""
"PAGANINI","NA","1","NA","NA","C","NA","0","1","2","1","",""
"PAJAC","NA","1","NA","NA","D","NA","0","1","2","1","",""
"PAZ","NA","1","NA","NA","D","NA","0","3","4","1","",""
"PEDRO NETO","NA","1","NA","NA","A","NA","0","1","1","1","",""
"PEETERS","NA","1","NA","NA","C","NA","0","1","1","1","",""
"PELLEGRINI LU","NA","1","NA","NA","D","NA","0","2","3","1","",""
"PLIZZARI","NA","1","NA","NA","P","NA","0","1","1","1","",""
"POLUZZI","NA","1","NA","NA","P","NA","0","1","1","1","",""
"PROTO","NA","1","NA","NA","P","NA","0","1","1","1","",""
"RADU I","NA","1","NA","NA","P","NA","0","1","1","1","",""
"RAFAEL CABRAL","NA","1","NA","NA","P","NA","0","1","1","1","",""
"RASMUSSEN","NA","1","NA","NA","D","NA","0","3","3","1","",""
"RICCARDI","NA","1","NA","NA","C","NA","0","1","1","1","",""
"RIGIONE","NA","1","NA","NA","D","NA","0","1","1","1","",""
"RODRIGUEZ A","NA","1","NA","NA","A","NA","0","1","2","1","",""
"ROSATI","NA","1","NA","NA","P","NA","0","1","1","1","",""
"ROSSI A","NA","1","NA","NA","A","NA","0","1","1","1","",""
"SAMMARCO","NA","1","NA","NA","C","NA","0","1","1","1","",""
"SATALINO","NA","1","NA","NA","P","NA","0","1","1","1","",""
"SCOZZARELLA","NA","1","NA","NA","C","NA","0","2","3","1","",""
"SECULIN","NA","1","NA","NA","P","NA","0","1","1","1","",""
"SEMPER","NA","1","NA","NA","P","NA","0","1","1","1","",""
"SERNICOLA","NA","1","NA","NA","D","NA","0","1","1","1","",""
"SOTTIL","NA","1","NA","NA","A","NA","0","1","2","1","",""
"SPROCATI","NA","1","NA","NA","A","NA","0","1","1","1","",""
"SVANBERG","NA","1","NA","NA","C","NA","0","2","3","1","",""
"TANASIJEVIC","NA","1","NA","NA","D","NA","0","1","1","1","",""
"TER AVEST","NA","1","NA","NA","D","NA","0","2","3","1","",""
"TERRACCIANO","NA","1","NA","NA","P","NA","0","4","1","1","",""
"TRAORE' HJ","NA","1","NA","NA","C","NA","0","1","1","1","",""
"TROOST-EKONG","NA","1","NA","NA","D","NA","0","5","3","1","",""
"UNTERSEE","NA","1","NA","NA","D","NA","0","2","3","1","",""
"VALENCIA JM","NA","1","NA","NA","C","NA","0","1","1","1","",""
"VALZANIA","NA","1","NA","NA","C","NA","0","2","2","1","",""
"VARNIER","NA","1","NA","NA","D","NA","0","1","1","1","",""
"VESELI","NA","1","NA","NA","D","NA","0","3","4","1","",""
"VIGNATO","NA","1","NA","NA","C","NA","0","1","1","1","",""
"VLAHOVIC","NA","1","NA","NA","A","NA","0","1","1","1","",""
"VODISEK","NA","1","NA","NA","P","NA","0","1","1","1","",""
"YOUNES","NA","1","NA","NA","A","NA","0","2","3","1","",""
"ZANIOLO","NA","1","NA","NA","C","NA","0","1","1","1","",""
