"","Name","MantraRole","VarianceFantasyEvaluation","PlayedMatches","MeanFantasyEvaluation","Team","Role","MedianFantasyEvaluation","WeightedFantasyEvaluation","Qt..A","Qt..I","Plays2018_2019","Owner","Price"
"579","PEZZELLA GIU","Ds",0.3738095238,15,5.5333333333,"Udinese","D",5.5,2.1842105263,4,5,1,"",NA
"580","PEZZELLA GIU","E",0.3738095238,15,5.5333333333,"Udinese","D",5.5,2.1842105263,4,5,1,"",NA
"581","PIATEK","Pc",NA,35,NA,NA,"A",NA,5.60772467256482,15,13,1,"",NA
"582","PINAMONTI","Pc",NA,1,6,"Inter","A",6,0.1578947368,6,7,1,"",NA
"583","PINSOGLIO","Por",NA,1,5,"Juventus","P",5,0.1315789474,1,1,1,"",NA
"584","PISACANE","Dd",0.4995471014,24,5.7291666667,"Cagliari","D",5.75,3.6184210526,3,4,1,"",NA
"585","PISACANE","Ds",0.4995471014,24,5.7291666667,"Cagliari","D",5.75,3.6184210526,3,4,1,"",NA
"586","PISACANE","Dc",0.4995471014,24,5.7291666667,"Cagliari","D",5.75,3.6184210526,3,4,1,"",NA
"587","PJACA","A",NA,38,NA,NA,"A",NA,6.06972619871497,16,16,1,"",NA
"588","PJANIC","C",3.2989247312,31,7.0322580645,"Juventus","C",6.5,5.7368421053,21,20,1,"BRYAN",10
"589","PLIZZARI","Por",NA,1,NA,NA,"P",NA,0,1,1,1,"",NA
"590","POLI","M",1.2651209677,32,6.09375,"Bologna","C",6,5.1315789474,8,8,1,"",NA
"591","POLI","C",1.2651209677,32,6.09375,"Bologna","C",6,5.1315789474,8,8,1,"",NA
"592","POLITANO","A",6.25,36,6.9166666667,"Sassuolo","A",6,6.5526315789,15,15,1,"ME",8
"593","POLUZZI","Por",NA,1,NA,NA,"P",NA,0,1,1,1,"",NA
"594","PONTISSO","M",NA,1,6,"Udinese","C",6,0.1578947368,1,1,1,"",NA
"595","PONTISSO","C",NA,1,6,"Udinese","C",6,0.1578947368,1,1,1,"",NA
"596","PRAET","C",0.9191028226,32,6.234375,"Sampdoria","C",6,5.25,9,10,1,"",NA
"597","PRAET","T",0.9191028226,32,6.234375,"Sampdoria","C",6,5.25,9,10,1,"",NA
"598","PROTO","Por",NA,1,NA,NA,"P",NA,0,1,1,1,"",NA
"599","PROVEDEL","Por",NA,21,NA,NA,"P",NA,3.37178786018851,5,6,1,"",NA
"600","PUCCIARELLI","A",1.6174242424,22,5.8863636364,"Chievo","A",5.5,3.4078947368,3,4,1,"",NA
"601","PULGAR","C",2.5393145161,32,6.09375,"Bologna","C",6,5.1315789474,9,10,1,"",NA
"602","PULGAR","M",2.5393145161,32,6.09375,"Bologna","C",6,5.1315789474,9,10,1,"",NA
"603","PUSSETTO","W",NA,35,NA,NA,"A",NA,5.42487565640231,11,12,1,"",NA
"604","PUSSETTO","A",NA,35,NA,NA,"A",NA,5.42487565640231,11,12,1,"",NA
"605","QUAGLIARELLA","Pc",9.6050420168,35,7.9285714286,"Sampdoria","A",6.5,7.3026315789,28,28,1,"ME",16
"606","RADOVANOVIC","C",0.8201680672,35,5.9428571429,"Chievo","C",6,5.4736842105,7,7,1,"",NA
"607","RADOVANOVIC","M",0.8201680672,35,5.9428571429,"Chievo","C",6,5.4736842105,7,7,1,"",NA
"608","RADU","Dc",0.3951612903,31,5.8870967742,"Lazio","D",6,4.8026315789,8,8,1,"",NA
"609","RADU","Ds",0.3951612903,31,5.8870967742,"Lazio","D",6,4.8026315789,8,8,1,"",NA
"610","RADU I","Por",NA,1,NA,NA,"P",NA,0,1,1,1,"",NA
"611","RAFAEL","Por",1.5555555556,10,5,"Cagliari","P",5,1.3157894737,1,1,1,"",NA
"612","RAFAEL CABRAL","Por",NA,1,NA,NA,"P",NA,0,1,1,1,"",NA
"613","RAMIREZ","T",2.5285285285,37,6.3378378378,"Sampdoria","C",6,6.1710526316,13,14,1,"ME",8
"614","RANOCCHIA","Dc",2.5545454545,11,6.6363636364,"Inter","D",6,1.9210526316,3,4,1,"",NA
"615","RASMUSSEN","Dc",NA,1,NA,NA,"D",NA,0,3,3,1,"",NA
"616","RECA","E",NA,10,NA,NA,"D",NA,1.59353006044804,4,5,1,"",NA
"617","RECA","Ds",NA,10,NA,NA,"D",NA,1.59353006044804,4,5,1,"",NA
"618","REGINI","Ds",0.2857142857,14,5.8571428571,"Sampdoria","D",6,2.1578947368,2,3,1,"",NA
"619","REGINI","Dc",0.2857142857,14,5.8571428571,"Sampdoria","D",6,2.1578947368,2,3,1,"",NA
"620","RICCARDI","C",NA,1,NA,NA,"C",NA,0,1,1,1,"",NA
"621","RICCARDI","T",NA,1,NA,NA,"C",NA,0,1,1,1,"",NA
"622","RIGIONE","Dc",NA,1,NA,NA,"D",NA,0,1,1,1,"",NA
"623","RIGONI E","A",NA,33,NA,NA,"A",NA,5.2214092515681,12,11,1,"",NA
"624","RIGONI L","C",2.1106719368,23,6.2391304348,"Genoa","C",6,3.7763157895,7,8,1,"",NA
"625","RIGONI N","M",0.2142857143,15,5.5,"Chievo","C",5.5,2.1710526316,6,6,1,"",NA
"626","RIGONI N","C",0.2142857143,15,5.5,"Chievo","C",5.5,2.1710526316,6,6,1,"",NA
"627","RINCON","M",0.6783730159,36,5.9861111111,"Torino","C",6,5.6710526316,8,7,1,"",NA
"628","RINCON","C",0.6783730159,36,5.9861111111,"Torino","C",6,5.6710526316,8,7,1,"",NA
"629","RODRIGUEZ A","Pc",NA,1,NA,NA,"A",NA,0,1,2,1,"",NA
"630","RODRIGUEZ R","Ds",1.1553030303,34,5.75,"Milan","D",6,5.1447368421,8,8,1,"",NA
"631","RODRIGUEZ R","E",1.1553030303,34,5.75,"Milan","D",6,5.1447368421,8,8,1,"",NA
"632","ROG","C",0.4761904762,28,6.0714285714,"Napoli","C",6,4.4736842105,5,6,1,"",NA
"633","ROG","T",0.4761904762,28,6.0714285714,"Napoli","C",6,4.4736842105,5,6,1,"",NA
"634","ROGERIO","Ds",0.3173076923,13,5.7307692308,"Sassuolo","D",6,1.9605263158,5,4,1,"",NA
"635","ROGERIO","E",0.3173076923,13,5.7307692308,"Sassuolo","D",6,1.9605263158,5,4,1,"",NA
"636","ROLON","M",NA,10,NA,NA,"C",NA,1.59353006044804,4,5,1,"",NA
"637","ROLON","C",NA,10,NA,NA,"C",NA,1.59353006044804,4,5,1,"",NA
"638","ROMAGNA","Dc",0.4229249012,23,5.8260869565,"Cagliari","D",6,3.5263157895,6,6,1,"VE",6
"639","ROMAGNOLI A","Dc",1.2685185185,28,6.25,"Milan","D",6,4.6052631579,10,10,1,"",NA
"640","ROMULO","M",1.7728978979,37,6.3648648649,"Verona","C",6,6.1973684211,9,9,1,"ME",1
"641","ROMULO","E",1.7728978979,37,6.3648648649,"Verona","C",6,6.1973684211,9,9,1,"ME",1
"642","ROSATI","Por",NA,1,NA,NA,"P",NA,0,1,1,1,"",NA
"643","ROSSETTINI","Dc",0.5276679842,23,5.8695652174,"Genoa","D",6,3.5526315789,6,5,1,"",NA
"644","ROSSETTINI","Dd",0.5276679842,23,5.8695652174,"Genoa","D",6,3.5526315789,6,5,1,"",NA
"645","ROSSI A","Pc",NA,1,NA,NA,"A",NA,0,1,1,1,"",NA
"646","ROSSI F","Por",NA,1,4.5,"Atalanta","P",4.5,0.1184210526,1,1,1,"",NA
"647","RUGANI","Dc",1.4978354978,22,6.4545454545,"Juventus","D",6,3.7368421053,7,8,1,"",NA
"648","RUIZ","C",NA,36,NA,NA,"C",NA,5.77425714782098,13,14,1,"",NA
"649","RUIZ","T",NA,36,NA,NA,"C",NA,5.77425714782098,13,14,1,"",NA
"650","SALA","Dd",0.5064102564,13,5.6153846154,"Sampdoria","D",5.5,1.9210526316,3,3,1,"",NA
"651","SALA","E",0.5064102564,13,5.6153846154,"Sampdoria","D",5.5,1.9210526316,3,3,1,"",NA
"652","SALAMON","Dc",0.3982683983,22,5.7272727273,"SPAL","D",6,3.3157894737,4,4,1,"",NA
"653","SALCEDO MORA","Pc",0,2,6,"Genoa","A",6,0.3157894737,1,1,1,"",NA
"654","SAMIR","Dc",1.1978494624,31,5.7580645161,"Udinese","D",5.5,4.6973684211,7,6,1,"",NA
"655","SAMIR","Ds",1.1978494624,31,5.7580645161,"Udinese","D",5.5,4.6973684211,7,6,1,"",NA
"656","SAMMARCO","M",NA,1,NA,NA,"C",NA,0,1,1,1,"",NA
"657","SAMMARCO","C",NA,1,NA,NA,"C",NA,0,1,1,1,"",NA
"658","SANDRO","C",1.4464285714,14,6.3214285714,"Benevento","C",6.25,2.3289473684,8,9,1,"",NA
"659","SANDRO","M",1.4464285714,14,6.3214285714,"Benevento","C",6.25,2.3289473684,8,9,1,"",NA
"660","SANTANDER","Pc",NA,37,NA,NA,"A",NA,4.99092040443647,10,10,1,"",NA
"661","SANTON","Ds",0.5785714286,15,5.6,"Inter","D",6,2.2105263158,3,3,1,"",NA
"662","SANTON","E",0.5785714286,15,5.6,"Inter","D",6,2.2105263158,3,3,1,"",NA
"663","SANTON","Dd",0.5785714286,15,5.6,"Inter","D",6,2.2105263158,3,3,1,"",NA
"664","SANTURRO","Por",NA,1,5.5,"Bologna","P",5.5,0.1447368421,1,1,1,"",NA
"665","SATALINO","Por",NA,1,NA,NA,"P",NA,0,1,1,1,"",NA
"666","SAU","A",1.8103448276,29,5.8965517241,"Cagliari","A",6,4.5,8,9,1,"",NA
"667","SCHIATTARELLA","C",0.7811827957,31,6.2580645161,"SPAL","C",6,5.1052631579,5,4,1,"",NA
"668","SCHICK","Pc",1.8446969697,22,6.0227272727,"Roma","A",6,3.4868421053,17,17,1,"",NA
"669","SCOZZARELLA","M",NA,1,NA,NA,"C",NA,0,2,3,1,"",NA
"670","SCOZZARELLA","C",NA,1,NA,NA,"C",NA,0,2,3,1,"",NA
"671","SCUFFET","Por",6.1666666667,6,4.3333333333,"Udinese","P",3.5,0.6842105263,3,1,1,"",NA
"672","SECULIN","Por",NA,1,NA,NA,"P",NA,0,1,1,1,"",NA
"673","SEMPER","Por",NA,1,NA,NA,"P",NA,0,1,1,1,"",NA
"674","SENSI","C",2.3051470588,17,6.3529411765,"Sassuolo","C",6,2.8421052632,6,6,1,"",NA
"675","SENSI","M",2.3051470588,17,6.3529411765,"Sassuolo","C",6,2.8421052632,6,6,1,"",NA
"676","SEPE","Por",NA,1,6,"Napoli","P",6,0.1578947368,6,6,1,"",NA
"677","SERNICOLA","Dd",NA,1,NA,NA,"D",NA,0,1,1,1,"",NA
"678","SERNICOLA","Ds",NA,1,NA,NA,"D",NA,0,1,1,1,"",NA
"679","SERNICOLA","Dc",NA,1,NA,NA,"D",NA,0,1,1,1,"",NA
"680","SILIGARDI","A",NA,21,NA,NA,"A",NA,3.98451169561749,7,7,1,"",NA
"681","SILVESTRE","Dc",1.0207219251,34,6.0441176471,"Sampdoria","D",6,5.4078947368,7,7,1,"",NA
"682","SIMEONE","Pc",7.359886202,38,7.2105263158,"Fiorentina","A",5.5,7.2105263158,26,26,1,"BRYAN",NA
"683","SIMIC L","Dc",2.1666666667,6,6.6666666667,"SPAL","D",6,1.0526315789,1,2,1,"",NA
"684","SIMIC S","Dc",0.1944444444,9,5.7777777778,"Crotone","D",6,1.3684210526,1,2,1,"",NA
"685","SKORUPSKI","Por",NA,1,6.5,"Roma","P",6.5,0.1710526316,9,9,1,"",NA
"686","SKRINIAR","Dc",1.6466927454,38,6.5921052632,"Inter","D",6.25,6.5921052632,16,16,1,"ME",8
"687","SODDIMO","W",NA,10,NA,NA,"C",NA,1.59353006044804,5,5,1,"",NA
"688","SODDIMO","C",NA,10,NA,NA,"C",NA,1.59353006044804,5,5,1,"",NA
"689","SODDIMO","T",NA,10,NA,NA,"C",NA,1.59353006044804,5,5,1,"",NA
"690","SORIANO","C",NA,35,NA,NA,"C",NA,5.42487565640231,12,12,1,"",NA
"691","SORIANO","T",NA,35,NA,NA,"C",NA,5.42487565640231,12,12,1,"",NA
"692","SORRENTINO","Por",4.039829303,38,4.9736842105,"Chievo","P",5.5,4.9736842105,9,9,1,"",NA
"693","SOTTIL","A",NA,1,NA,NA,"A",NA,0,1,2,1,"",NA
"694","SPINAZZOLA","E",0.4967320261,18,5.9444444444,"Atalanta","D",5.5,2.8157894737,5,6,1,"",NA
"695","SPINAZZOLA","Ds",0.4967320261,18,5.9444444444,"Atalanta","D",5.5,2.8157894737,5,6,1,"",NA
"696","SPOLLI","Dc",0.3833333333,21,6.1666666667,"Genoa","D",6.5,3.4078947368,5,6,1,"",NA
"697","SPORTIELLO","Por",2.7173423423,37,5.1351351351,"Fiorentina","P",5,5,6,6,1,"ME",1
"698","SPROCATI","A",NA,1,NA,NA,"A",NA,0,1,1,1,"",NA
"699","SPROCATI","T",NA,1,NA,NA,"A",NA,0,1,1,1,"",NA
"700","SRNA","E",NA,21,NA,NA,"D",NA,3.9845116956,8,7,1,"ME",8
"701","SRNA","Dd",NA,21,NA,NA,"D",NA,3.9845116956,8,7,1,"ME",8
"702","STEPINSKI","Pc",3.4269480519,22,6.6136363636,"Chievo","A",6,3.8289473684,13,13,1,"",NA
"703","STIJEPOVIC","W",NA,1,6,"Sampdoria","C",6,0.1578947368,1,1,1,"",NA
"704","STIJEPOVIC","A",NA,1,6,"Sampdoria","C",6,0.1578947368,1,1,1,"",NA
"705","STRAKOSHA","Por",2.3942034139,38,5.0657894737,"Lazio","P",5,5.0657894737,12,12,1,"VE",15
"706","STRINIC","E",0.7334558824,17,6.0294117647,"Sampdoria","D",6,2.6973684211,4,5,1,"",NA
"707","STRINIC","Ds",0.7334558824,17,6.0294117647,"Sampdoria","D",6,2.6973684211,4,5,1,"",NA
"708","STRYGER LARSEN","Dd",0.466954023,30,5.9166666667,"Udinese","D",6,4.6710526316,6,6,1,"",NA
"709","STRYGER LARSEN","Dc",0.466954023,30,5.9166666667,"Udinese","D",6,4.6710526316,6,6,1,"",NA
"710","STULAC","C",NA,10,NA,NA,"C",NA,1.59353006044804,6,5,1,"",NA
"711","STULAC","M",NA,10,NA,NA,"C",NA,1.59353006044804,6,5,1,"",NA
"712","SUSO","A",4.2470588235,35,6.9,"Milan","A",6.5,6.3552631579,20,21,1,"BRYAN",NA
"713","SUSO","T",4.2470588235,35,6.9,"Milan","A",6.5,6.3552631579,20,21,1,"BRYAN",NA
"714","SVANBERG","M",NA,1,NA,NA,"C",NA,0,2,3,1,"",NA
"715","SVANBERG","E",NA,1,NA,NA,"C",NA,0,2,3,1,"",NA
"716","SZCZESNY","Por",1.2334558824,17,5.5294117647,"Juventus","P",6,2.4736842105,18,18,1,"ME",23
"717","TANASIJEVIC","Dc",NA,1,NA,NA,"D",NA,0,1,1,1,"",NA
"718","TEODORCZYK","Pc",NA,35,NA,NA,"A",NA,5.42487565640231,11,12,1,"",NA
"719","TER AVEST","E",NA,1,NA,NA,"D",NA,0,2,3,1,"",NA
"720","TER AVEST","Dd",NA,1,NA,NA,"D",NA,0,2,3,1,"",NA
"721","TERRACCIANO","Por",NA,1,NA,NA,"P",NA,0,4,1,1,"",NA
"722","THEREAU","A",5.1103896104,22,7.0909090909,"Fiorentina","A",6,4.1052631579,12,13,1,"",NA
"723","TOLOI","Dc",0.6064516129,31,6.3387096774,"Atalanta","D",6.5,5.1710526316,10,10,1,"",NA
"724","TOMOVIC","Dd",0.5818965517,29,5.724137931,"Chievo","D",5.5,4.3684210526,7,6,1,"",NA
"725","TOMOVIC","Dc",0.5818965517,29,5.724137931,"Chievo","D",5.5,4.3684210526,7,6,1,"",NA
"726","TONELLI","Dc",5.5625,4,6.125,"Napoli","D",5.5,0.6447368421,6,6,1,"",NA
"727","TRAORE' HJ","C",NA,1,NA,NA,"C",NA,0,1,1,1,"",NA
"728","TRAORE' HJ","T",NA,1,NA,NA,"C",NA,0,1,1,1,"",NA
"729","TROOST-EKONG","Dc",NA,1,NA,NA,"D",NA,0,5,3,1,"",NA
"730","TROTTA","Pc",4.0445632799,34,6.5294117647,"Crotone","A",6,5.8421052632,7,8,1,"",NA
"731","TUMMINELLO","Pc",2.8916666667,10,7.15,"Crotone","A",6,1.8815789474,7,8,1,"",NA
"732","UCAN","C",NA,21,NA,NA,"C",NA,3.37178786018851,5,6,1,"",NA
"733","UCAN","T",NA,21,NA,NA,"C",NA,3.37178786018851,5,6,1,"",NA
"734","UNDER","A",5.6384615385,26,6.9615384615,"Roma","A",6,4.7631578947,20,21,1,"ME",14
"735","UNTERSEE","Dd",NA,1,NA,NA,"D",NA,0,2,3,1,"",NA
"736","UNTERSEE","M",NA,1,NA,NA,"D",NA,0,2,3,1,"",NA
"737","UNTERSEE","E",NA,1,NA,NA,"D",NA,0,2,3,1,"",NA
"738","VALDIFIORI","C",0.2243589744,13,5.6538461538,"Torino","C",6,1.9342105263,3,3,1,"",NA
"739","VALENCIA JM","T",NA,1,NA,NA,"C",NA,0,1,1,1,"",NA
"740","VALOTI","C",3.1584615385,26,5.9615384615,"Verona","C",5.5,4.0789473684,4,5,1,"VE",5
"741","VALOTI","T",3.1584615385,26,5.9615384615,"Verona","C",5.5,4.0789473684,4,5,1,"VE",5
"742","VALZANIA","C",NA,1,NA,NA,"C",NA,0,2,2,1,"",NA
"743","VARNIER","Dc",NA,1,NA,NA,"D",NA,0,1,1,1,"",NA
"744","VECINO","M",1.9002463054,29,6.3103448276,"Inter","C",6,4.8157894737,9,10,1,"",NA
"745","VECINO","C",1.9002463054,29,6.3103448276,"Inter","C",6,4.8157894737,9,10,1,"",NA
"746","VERDI","A",4.7557932264,34,7.3235294118,"Bologna","C",6,6.5526315789,17,18,1,"ME",12
"747","VERDI","T",4.7557932264,34,7.3235294118,"Bologna","C",6,6.5526315789,17,18,1,"ME",12
"748","VERETOUT","C",5.0910714286,36,6.7916666667,"Fiorentina","C",6.25,6.4342105263,16,17,1,"BRYAN",15
"749","VESELI","Dd",NA,1,NA,NA,"D",NA,0,3,4,1,"",NA
"750","VESELI","Dc",NA,1,NA,NA,"D",NA,0,3,4,1,"",NA
"751","VESELI","Ds",NA,1,NA,NA,"D",NA,0,3,4,1,"",NA
"752","VICARI","Dc",0.513368984,34,5.8235294118,"SPAL","D",5.75,5.2105263158,6,4,1,"",NA
"753","VIEIRA","C",NA,21,NA,NA,"C",NA,3.37178786018851,5,6,1,"",NA
"754","VIEIRA","M",NA,21,NA,NA,"C",NA,3.37178786018851,5,6,1,"",NA
"755","VIGNATO","T",NA,1,NA,NA,"C",NA,0,1,1,1,"",NA
"756","VIGNATO","A",NA,1,NA,NA,"C",NA,0,1,1,1,"",NA
"757","VITALE","C",0,2,6,"SPAL","C",6,0.3157894737,1,1,1,"",NA
"758","VITOR HUGO","Dc",1.5160818713,19,6.1052631579,"Fiorentina","D",6,3.0526315789,7,6,1,"",NA
"759","VIVIANI","M",1.3645320197,29,6.3103448276,"SPAL","C",6,4.8157894737,8,9,1,"",NA
"760","VIVIANI","C",1.3645320197,29,6.3103448276,"SPAL","C",6,4.8157894737,8,9,1,"",NA
"761","VIZEU","Pc",NA,30,NA,NA,"A",NA,4.72318396627123,8,9,1,"",NA
"762","VLAHOVIC","Pc",NA,1,NA,NA,"A",NA,0,1,1,1,"",NA
"763","VLOET","C",NA,21,NA,NA,"C",NA,3.37178786018851,5,6,1,"",NA
"764","VLOET","T",NA,21,NA,NA,"C",NA,3.37178786018851,5,6,1,"",NA
"765","VODISEK","Por",NA,1,NA,NA,"P",NA,0,1,1,1,"",NA
"766","VRSALJKO","Dd",NA,36,NA,NA,"D",NA,5.77425714782098,13,14,1,"",NA
"767","VRSALJKO","E",NA,36,NA,NA,"D",NA,5.77425714782098,13,14,1,"",NA
"768","WAGUE","Dc",NA,1,5,"Udinese","D",5,0.1315789474,1,1,1,"",NA
"769","WALLACE","Dc",0.4423076923,13,5.7307692308,"Lazio","D",6,1.9605263158,5,5,1,"",NA
"770","YOUNES","A",NA,1,NA,NA,"A",NA,0,2,3,1,"",NA
"771","ZAJC","T",NA,31,NA,NA,"C",NA,4.40015620343502,9,8,1,"",NA
"772","ZAMPANO","Ds",2.075,6,6.25,"Udinese","D",5.75,0.9868421053,6,5,1,"",NA
"773","ZAMPANO","E",2.075,6,6.25,"Udinese","D",5.75,0.9868421053,6,5,1,"",NA
"774","ZAMPANO","Dd",2.075,6,6.25,"Udinese","D",5.75,0.9868421053,6,5,1,"",NA
"775","ZANIOLO","C",NA,1,NA,NA,"C",NA,0,1,1,1,"",NA
"776","ZANIOLO","T",NA,1,NA,NA,"C",NA,0,1,1,1,"",NA
"777","ZAPATA C","Dc",0.6742424242,12,6.0833333333,"Milan","D",6.25,1.9210526316,3,4,1,"",NA
"778","ZAPATA D","Pc",4.7161290323,31,7.3709677419,"Sampdoria","A",6.5,6.0131578947,25,26,1,"ME",10
"779","ZIELINSKI","T",1.935515873,36,6.4861111111,"Napoli","C",6,6.1447368421,16,14,1,"GATTI",32
"780","ZIELINSKI","C",1.935515873,36,6.4861111111,"Napoli","C",6,6.1447368421,16,14,1,"GATTI",32
"781","ZUKANOVIC","Ds",0.4166666667,31,6,"Genoa","D",6,4.8947368421,5,5,1,"",NA
"782","ZUKANOVIC","Dc",0.4166666667,31,6,"Genoa","D",6,4.8947368421,5,5,1,"",NA
