"","Name","VarianceFantasyEvaluation","PlayedMatches","MeanFantasyEvaluation","Team","Role","MedianFantasyEvaluation","WeightedFantasyEvaluation"
"2","ABATE",1.40257352941176,17,5.94117647058824,"Milan","D",6,2.65789473684211
"3","ACERBI",0.502311522048364,38,5.93421052631579,"Sassuolo","D",6,5.93421052631579
"5","ADJAPONG",0.448958333333333,16,5.96875,"Sassuolo","D",6,2.51315789473684
"6","ADNAN",0.386363636363636,23,6,"Udinese","D",6,3.63157894736842
"7","AJETI",0.878571428571429,21,5.85714285714286,"Crotone","D",6,3.23684210526316
"8","ALBIOL",1.57903225806452,31,6.56451612903226,"Napoli","D",6.5,5.35526315789474
"9","ALEX SANDRO",2.58153846153846,26,6.69230769230769,"Juventus","D",6,4.57894736842105
"14","ANDERSEN",0.154761904761905,7,5.78571428571429,"Sampdoria","D",6,1.06578947368421
"16","ANDREOLLI",0.357707509881423,23,5.69565217391304,"Cagliari","D",6,3.44736842105263
"17","ANGELLA",0.429924242424242,12,5.45833333333333,"Udinese","D",5.5,1.72368421052632
"18","ANSALDI",1.21416666666667,25,6.38,"Torino","D",6.5,4.19736842105263
"19","ANTEI",0.642857142857143,8,5.5,"Benevento","D",5.5,1.15789473684211
"21","ANTONELLI",0.166666666666667,6,5.66666666666667,"Milan","D",5.75,0.894736842105263
"24","ASAMOAH",0.210526315789474,19,6.10526315789474,"Juventus","D",6,3.05263157894737
"25","ASTORI",1.015,25,6.34,"Fiorentina","D",6.5,4.17105263157895
"32","BANI",0.232291666666667,16,5.78125,"Chievo","D",5.75,2.43421052631579
"37","BARRECA",0.319444444444444,9,5.77777777777778,"Torino","D",6,1.36842105263158
"40","BARZAGLI",0.256666666666667,25,6.06,"Juventus","D",6,3.98684210526316
"42","BASTA",0.322727272727273,11,6.04545454545455,"Lazio","D",6,1.75
"44","BASTONI",0.0625,4,6.125,"Atalanta","D",6,0.644736842105263
"45","BASTOS",2.59761904761905,21,6.54761904761905,"Lazio","D",6,3.61842105263158
"46","BEARZOTTI",0.3,6,5.5,"Verona","D",5.5,0.868421052631579
"52","BENATIA",1.60263157894737,20,6.55,"Juventus","D",6.5,3.44736842105263
"56","BERESZYNSKI",0.313978494623656,31,5.7741935483871,"Sampdoria","D",5.5,4.71052631578948
"61","BIANCHETTI",1.125,2,5.75,"Verona","D",5.75,0.302631578947368
"63","BILLONG",0.2,5,5.2,"Benevento","D",5,0.684210526315789
"65","BIRAGHI",1.08756684491979,34,5.89705882352941,"Fiorentina","D",6,5.27631578947368
"66","BIRASCHI",0.41600790513834,23,5.93478260869565,"Genoa","D",6,3.59210526315789
"69","BOLDOR",NA,1,5,"Verona","D",5,0.131578947368421
"72","BONIFAZI",0.4,6,6,"Torino","D",6.25,0.947368421052632
"73","BONUCCI",1.41176470588235,35,6,"Milan","D",6,5.52631578947368
"82","BRUNO PERES",0.124183006535948,18,5.77777777777778,"Roma","D",6,2.73684210526316
"87","BURDISSO",0.379981884057971,24,5.85416666666667,"Torino","D",6,3.69736842105263
"88","CABRERA",0.825,5,5.2,"Crotone","D",5,0.684210526315789
"89","CACCIATORE",1.07717803030303,33,6.03030303030303,"Chievo","D",6,5.23684210526316
"90","CACERES",2.89473684210526,20,6.5,"Lazio","D",6,3.42105263157895
"92","CALABRIA",1.76547619047619,21,6.26190476190476,"Milan","D",6,3.46052631578947
"93","CALDARA",2.91259057971015,24,6.39583333333333,"Atalanta","D",6,4.03947368421052
"98","CANCELO",0.915384615384615,26,6.34615384615385,"Inter","D",6,4.3421052631579
"100","CANNAVARO",0.35672514619883,19,5.63157894736842,"Sassuolo","D",5.5,2.81578947368421
"102","CAPRADOSSI",0,2,6,"Roma","D",6,0.315789473684211
"104","CAPUANO",0.44,25,5.74,"Crotone","D",6,3.77631578947368
"105","CARACCIOLO A",1.64251893939394,33,5.75757575757576,"Verona","D",5.5,5
"107","CASTAGNE",0.486184210526316,20,6.025,"Atalanta","D",6,3.17105263157895
"108","CASTAN",0.862637362637363,14,5.64285714285714,"Cagliari","D",5.5,2.07894736842105
"111","CECCHERINI",1.06719219219219,37,5.90540540540541,"Crotone","D",6,5.75
"113","CEPPITELLI",1.92948717948718,27,6.27777777777778,"Cagliari","D",6,4.46052631578948
"116","CESAR",0.302777777777778,10,5.55,"Chievo","D",5.75,1.46052631578947
"119","CHIELLINI",0.244615384615385,26,6.23076923076923,"Juventus","D",6,4.26315789473684
"121","CHIRICHES",0.154761904761905,7,5.78571428571429,"Napoli","D",5.5,1.06578947368421
"124","CIONEK",0.945238095238095,15,6.36666666666667,"SPAL","D",6.5,2.51315789473684
"129","CONTI",0.125,2,6.25,"Milan","D",6.25,0.328947368421053
"134","COSTA",0.507291666666667,16,5.40625,"Benevento","D",5,2.27631578947368
"135","COSTA F",0.393280632411067,23,5.93478260869565,"SPAL","D",6,3.59210526315789
"137","CREMONESI",0.2,5,5.3,"SPAL","D",5,0.697368421052632
"146","D'AMBROSIO",1.46991978609626,34,6.19117647058824,"Inter","D",6,5.53947368421053
"150","DAINELLI",0.572619047619048,21,6.04761904761905,"Chievo","D",6,3.3421052631579
"151","DALBERT",0.192307692307692,13,5.73076923076923,"Inter","D",6,1.96052631578947
"152","DANILO",0.713457661290323,32,5.859375,"Udinese","D",6,4.93421052631579
"154","DE MAIO",1.37846153846154,26,6.03846153846154,"Bologna","D",5.75,4.13157894736842
"158","DE SCIGLIO",1.1969696969697,12,6.66666666666667,"Juventus","D",6.5,2.10526315789474
"159","DE SILVESTRI",2.27857142857143,35,6.52857142857143,"Torino","D",6,6.01315789473684
"160","DE VRIJ",1.97777777777778,36,6.77777777777778,"Lazio","D",6.5,6.42105263157895
"165","DELL'ORCO",0.316964285714286,8,6.0625,"Sassuolo","D",6,1.27631578947368
"167","DEPAOLI",0.203216374269006,19,5.78947368421053,"Chievo","D",6,2.89473684210527
"170","DI CHIARA",0.307692307692308,13,5.34615384615385,"Benevento","D",5.5,1.82894736842105
"177","DJIMSITI",0.633333333333333,30,5.56666666666667,"Benevento","D",5.5,4.39473684210527
"184","DRAME'",0.2,5,5.8,"SPAL","D",6,0.763157894736842
"186","DUSSENNE",NA,1,5,"Crotone","D",5,0.131578947368421
"193","EL YAMIQ",0.5625,4,5.625,"Genoa","D",5.5,0.592105263157895
"194","EMERSON",NA,1,6,"Roma","D",6,0.157894736842105
"201","FARAONI",1.21957671957672,28,6.14285714285714,"Crotone","D",6,4.52631578947368
"204","FAZIO",1.22303921568627,34,6.33823529411765,"Roma","D",6.25,5.67105263157895
"205","FELICIOLI",0.0666666666666667,6,5.83333333333333,"Verona","D",6,0.921052631578947
"206","FELIPE",1.28764367816092,30,5.88333333333333,"SPAL","D",6,4.64473684210526
"208","FERRARI A",1.26416666666667,25,5.58,"Verona","D",5.5,3.67105263157895
"209","FERRARI G",1.77040229885057,30,5.88333333333333,"Sampdoria","D",5.75,4.64473684210526
"217","GAMBERINI",0.383399209486166,23,5.76086956521739,"Chievo","D",6,3.48684210526316
"219","GASPAR B",0.721428571428571,15,5.9,"Fiorentina","D",6,2.32894736842105
"223","GAZZOLA",0.194444444444444,9,5.77777777777778,"Sassuolo","D",6,1.36842105263158
"224","GENTILETTI",0.916666666666667,4,5.25,"Genoa","D",5.5,0.552631578947368
"226","GHOULAM",4.10454545454545,11,7.36363636363636,"Napoli","D",6.5,2.13157894736842
"231","GOBBI",0.541666666666667,24,5.70833333333333,"Chievo","D",5.75,3.60526315789474
"232","GOLDANIGA",1.64102564102564,13,6.15384615384615,"Sassuolo","D",6,2.10526315789474
"237","GONZALEZ G",0.617424242424242,22,5.61363636363636,"Bologna","D",5.5,3.25
"238","GOSENS",0.864285714285714,21,6.21428571428571,"Atalanta","D",6,3.43421052631579
"240","GRAVILLON",0.125,2,5.75,"Benevento","D",5.75,0.302631578947368
"243","GYAMFI",0.125,9,5.66666666666667,"Benevento","D",5.5,1.3421052631579
"249","HATEBOER",0.125,33,6,"Atalanta","D",6,5.21052631578947
"250","HECTOR MORENO",0.125,5,6,"Roma","D",6,0.789473684210526
"251","HELANDER",0.355295566502463,29,5.86206896551724,"Bologna","D",6,4.47368421052632
"253","HEURTAUX",0.702205882352941,17,5.47058823529412,"Verona","D",5.5,2.44736842105263
"256","HOWEDES",4.75,3,7,"Juventus","D",6,0.552631578947368
"257","HYSAJ",0.278571428571429,35,5.97142857142857,"Napoli","D",6,5.5
"270","IZZO",1.05,16,6.125,"Genoa","D",6,2.57894736842105
"272","JAROSZYNSKI",0.313636363636364,11,5.68181818181818,"Chievo","D",6,1.64473684210526
"276","JUAN JESUS",0.446428571428571,22,5.75,"Roma","D",6,3.32894736842105
"281","KARSDORP",NA,1,5.5,"Roma","D",5.5,0.144736842105263
"283","KEITA C",0.25,3,5.5,"Bologna","D",5.5,0.434210526315789
"286","KOLAROV",1.63739495798319,35,6.62857142857143,"Roma","D",6.5,6.10526315789474
"287","KOULIBALY",2.57857142857143,35,6.72857142857143,"Napoli","D",6.5,6.19736842105263
"289","KRAFTH",0.15719696969697,12,5.45833333333333,"Bologna","D",5.5,1.72368421052632
"296","LAURINI",0.337662337662338,22,5.86363636363636,"Fiorentina","D",6,3.39473684210526
"298","LAZAAR",1.4375,9,6,"Benevento","D",6,1.42105263157895
"302","LEMOS",3.83928571428571,8,6.125,"Sassuolo","D",6.25,1.28947368421053
"304","LETIZIA",0.930418719211823,29,5.8448275862069,"Benevento","D",6,4.46052631578948
"305","LETSCHERT",0.0357142857142857,7,5.92857142857143,"Sassuolo","D",6,1.09210526315789
"306","LICHTSTEINER",0.67948717948718,27,5.77777777777778,"Juventus","D",6,4.10526315789474
"308","LIROLA",0.340579710144928,24,5.83333333333333,"Sassuolo","D",6,3.68421052631579
"309","LISANDRO LOPEZ",NA,1,5.5,"Inter","D",5.5,0.144736842105263
"316","LUCIONI",1.20982142857143,8,5.8125,"Benevento","D",6,1.22368421052632
"318","LUIZ FELIPE",0.406045751633987,18,5.86111111111111,"Lazio","D",6,2.77631578947368
"319","LUKAKU J",0.97816091954023,30,6.26666666666667,"Lazio","D",6,4.94736842105263
"321","LYANCO",0.5,4,6,"Torino","D",6.25,0.631578947368421
"322","LYKOGIANNIS",0.440909090909091,11,6.09090909090909,"Cagliari","D",6,1.76315789473684
"323","MAGGIO",0.0993589743589744,13,6.15384615384615,"Napoli","D",6,2.10526315789474
"325","MAIETTA",0.238095238095238,7,6.28571428571429,"Bologna","D",6.5,1.15789473684211
"326","MAKSIMOVIC",0,2,6,"Napoli","D",6,0.315789473684211
"327","MANCINI G",2.00454545454545,11,6.13636363636364,"Atalanta","D",6,1.77631578947369
"330","MANOLAS",1.33189655172414,29,6.22413793103448,"Roma","D",6,4.75
"334","MARIO RUI",1.55666666666667,25,6.34,"Napoli","D",6,4.17105263157895
"335","MARTELLA",0.995689655172414,30,6.25,"Crotone","D",6.25,4.93421052631579
"337","MASIELLO A",1.93655913978495,31,6.64516129032258,"Atalanta","D",6.5,5.42105263157895
"338","MASINA",0.359402852049911,34,5.66176470588235,"Bologna","D",5.75,5.06578947368421
"341","MATTIELLO",0.261083743842365,29,5.75862068965517,"SPAL","D",6,4.39473684210526
"344","MAURICIO",NA,1,6,"Lazio","D",6,0.157894736842105
"348","MBAYE",1.11833333333333,25,5.92,"Bologna","D",6,3.89473684210526
"354","MIANGUE",0.604545454545454,11,5.86363636363636,"Cagliari","D",6,1.69736842105263
"355","MIGLIORE",0.4,6,5.5,"Genoa","D",5.75,0.868421052631579
"358","MILENKOVIC",0.366666666666667,16,5.75,"Fiorentina","D",6,2.42105263157895
"362","MIRANDA",0.265591397849462,31,6.03225806451613,"Inter","D",6,4.92105263157895
"365","MOLINARO",0.486184210526316,20,5.775,"Torino","D",6,3.03947368421053
"369","MORETTI",0.355519480519481,22,5.88636363636364,"Torino","D",6,3.40789473684211
"371","MURRU",0.459868421052632,20,5.725,"Sampdoria","D",5.75,3.01315789473684
"372","MUSACCHIO",0.423809523809524,15,5.56666666666667,"Milan","D",5.5,2.19736842105263
"373","N'KOULOU",1.23048048048048,37,6.22972972972973,"Torino","D",6,6.06578947368421
"374","NAGATOMO",0.154545454545455,11,5.86363636363636,"Inter","D",6,1.69736842105263
"382","NUYTINCK",0.972934472934473,27,6.12962962962963,"Udinese","D",6,4.35526315789474
"385","OIKONOMOU",0.395833333333333,4,5.375,"SPAL","D",5.5,0.565789473684211
"387","OLIVERA M",0.369047619047619,7,5.57142857142857,"Fiorentina","D",6,1.02631578947368
"391","PADOIN",0.713213213213213,37,5.81081081081081,"Cagliari","D",5.5,5.6578947368421
"395","PALOMINO",0.875384615384615,26,6.15384615384615,"Atalanta","D",6,4.21052631578947
"400","PATRIC",0.35,11,6,"Lazio","D",6,1.73684210526316
"401","PAVLOVIC",0.172727272727273,11,5.45454545454545,"Crotone","D",5.5,1.57894736842105
"409","PELUSO",1.06989247311828,31,5.85483870967742,"Sassuolo","D",6,4.77631578947368
"410","PEREIRA P",0.141666666666667,6,5.91666666666667,"Genoa","D",6,0.93421052631579
"417","PEZZELLA GER",0.849376114081996,34,6.11764705882353,"Fiorentina","D",6,5.47368421052632
"418","PEZZELLA GIU",0.373809523809524,15,5.53333333333333,"Udinese","D",5.5,2.18421052631579
"423","PISACANE",0.499547101449275,24,5.72916666666667,"Cagliari","D",5.75,3.61842105263158
"435","RADU",0.395161290322581,31,5.88709677419355,"Lazio","D",6,4.80263157894737
"440","RANOCCHIA",2.55454545454545,11,6.63636363636364,"Inter","D",6,1.92105263157895
"442","REGINI",0.285714285714286,14,5.85714285714286,"Sampdoria","D",6,2.15789473684211
"449","RODRIGUEZ R",1.15530303030303,34,5.75,"Milan","D",6,5.14473684210526
"451","ROGERIO",0.317307692307692,13,5.73076923076923,"Sassuolo","D",6,1.96052631578947
"453","ROMAGNA",0.422924901185771,23,5.82608695652174,"Cagliari","D",6,3.52631578947368
"454","ROMAGNOLI A",1.26851851851852,28,6.25,"Milan","D",6,4.60526315789474
"455","ROMAGNOLI S",0.142857142857143,8,6,"Bologna","D",6,1.26315789473684
"457","ROMULO",1.7728978978979,37,6.36486486486486,"Verona","D",6,6.19736842105263
"458","ROSI",0.148097826086957,24,5.6875,"Genoa","D",5.5,3.59210526315789
"459","ROSSETTINI",0.527667984189723,23,5.8695652173913,"Genoa","D",6,3.55263157894737
"462","RUGANI",1.4978354978355,22,6.45454545454545,"Juventus","D",6,3.73684210526315
"463","RUTJENS",NA,1,6,"Benevento","D",6,0.157894736842105
"465","SAGNA",1.48076923076923,13,6.19230769230769,"Benevento","D",6,2.11842105263158
"466","SALA",0.506410256410256,13,5.61538461538461,"Sampdoria","D",5.5,1.92105263157895
"467","SALAMON",0.398268398268398,22,5.72727272727273,"SPAL","D",6,3.31578947368421
"469","SAMIR",1.19784946236559,31,5.75806451612903,"Udinese","D",5.5,4.69736842105263
"470","SAMPIRISI",0.294623655913978,31,5.69354838709677,"Crotone","D",6,4.64473684210526
"474","SANTON",0.578571428571429,15,5.6,"Inter","D",6,2.21052631578947
"487","SILVA J",0,2,6,"Roma","D",6,0.315789473684211
"488","SILVESTRE",1.02072192513369,34,6.04411764705882,"Sampdoria","D",6,5.4078947368421
"491","SIMIC L",2.16666666666667,6,6.66666666666667,"SPAL","D",6,1.05263157894737
"492","SIMIC S",0.194444444444444,9,5.77777777777778,"Crotone","D",6,1.36842105263158
"496","SKRINIAR",1.64669274537696,38,6.59210526315789,"Inter","D",6.25,6.59210526315789
"498","SOUPRAYEN",0.350649350649351,22,5.27272727272727,"Verona","D",5,3.05263157894737
"500","SPARANDEO",NA,1,5,"Benevento","D",5,0.131578947368421
"502","SPOLLI",0.383333333333333,21,6.16666666666667,"Genoa","D",6.5,3.40789473684211
"508","STRINIC",0.733455882352941,17,6.02941176470588,"Sampdoria","D",6,2.69736842105263
"510","STRYGER LARSEN",0.466954022988506,30,5.91666666666667,"Udinese","D",6,4.67105263157895
"517","TOLOI",0.606451612903226,31,6.33870967741935,"Atalanta","D",6.5,5.17105263157894
"518","TOMOVIC",0.581896551724138,29,5.72413793103448,"Chievo","D",5.5,4.36842105263158
"519","TONELLI",5.5625,4,6.125,"Napoli","D",5.5,0.644736842105263
"521","TOROSIDIS",0.165625,16,5.78125,"Bologna","D",6,2.43421052631579
"524","TOSCA",0.58974358974359,13,5.61538461538461,"Benevento","D",5.5,1.92105263157895
"530","VAISANEN",0.452380952380952,7,5.57142857142857,"SPAL","D",5.5,1.02631578947368
"533","VAN DER WIEL",0.425,5,5.6,"Cagliari","D",6,0.736842105263158
"535","VENUTI",0.606989247311828,31,5.40322580645161,"Benevento","D",5.5,4.4078947368421
"540","VICARI",0.513368983957219,34,5.82352941176471,"SPAL","D",5.75,5.21052631578948
"544","VITOR HUGO",1.51608187134503,19,6.10526315789474,"Fiorentina","D",6,3.05263157894737
"548","VUKOVIC",2.07857142857143,15,5.9,"Verona","D",5.5,2.32894736842105
"549","WAGUE",NA,1,5,"Udinese","D",5,0.131578947368421
"550","WALLACE",0.442307692307692,13,5.73076923076923,"Lazio","D",6,1.96052631578947
"551","WIDMER",2.12998188405797,24,6.27083333333333,"Udinese","D",6,3.96052631578947
"553","ZAMPANO",2.075,6,6.25,"Udinese","D",5.75,0.986842105263158
"555","ZAPATA C",0.674242424242424,12,6.08333333333333,"Milan","D",6.25,1.92105263157895
"557","ZAPPACOSTA",0.125,2,5.75,"Torino","D",5.75,0.302631578947368
"563","ZUKANOVIC",0.416666666666667,31,6,"Genoa","D",6,4.89473684210526
